Year,Month,Domestic,International,Total,origin
2015,4,4678,0,4678,IAH
2015,5,4915,0,4915,IAH
2015,6,4849,0,4849,IAH
2015,7,8358,0,8358,IAH
2015,8,7266,0,7266,IAH
2015,9,4599,0,4599,IAH
2015,10,4318,0,4318,IAH
2015,11,4475,0,4475,IAH
2015,12,4718,0,4718,IAH
2015,TOTAL,61259,0,61259,IAH
2016,1,4169,0,4169,IAH
2016,2,4357,0,4357,IAH
2016,3,6390,0,6390,IAH
2016,4,7448,0,7448,IAH
2016,5,7903,0,7903,IAH
2016,6,7997,0,7997,IAH
2016,7,8267,0,8267,IAH
2016,8,7654,0,7654,IAH
2016,9,6052,0,6052,IAH
2016,10,6200,0,6200,IAH
2016,11,7059,0,7059,IAH
2016,12,7889,0,7889,IAH
2016,TOTAL,81385,0,81385,IAH
2017,1,7005,0,7005,IAH
2017,2,6280,0,6280,IAH
2017,3,7382,0,7382,IAH
2017,4,8219,0,8219,IAH
2017,5,8691,0,8691,IAH
2017,6,9538,0,9538,IAH
2017,7,9899,0,9899,IAH
2017,8,8060,0,8060,IAH
2017,9,6122,0,6122,IAH
2017,10,6691,0,6691,IAH
2017,11,6846,0,6846,IAH
2017,12,7633,0,7633,IAH
2017,TOTAL,92366,0,92366,IAH
2018,1,5413,0,5413,IAH
2018,2,4556,0,4556,IAH
2018,3,6978,0,6978,IAH
2018,4,8191,0,8191,IAH
2018,5,9081,0,9081,IAH
2018,6,9549,0,9549,IAH
2018,7,9965,0,9965,IAH
2018,8,7856,0,7856,IAH
2018,9,6489,0,6489,IAH
2018,10,6782,0,6782,IAH
2018,11,6139,0,6139,IAH
2018,12,6716,0,6716,IAH
2018,TOTAL,87715,0,87715,IAH
2019,1,5834,0,5834,IAH
2019,2,5893,0,5893,IAH
2019,3,7617,0,7617,IAH
2019,4,8028,0,8028,IAH
2019,5,9165,0,9165,IAH
2019,6,9728,0,9728,IAH
2019,7,10177,0,10177,IAH
2019,8,9322,0,9322,IAH
2019,9,7743,0,7743,IAH
2019,10,7762,0,7762,IAH
2019,11,7546,0,7546,IAH
2019,12,9545,0,9545,IAH
2019,TOTAL,98360,0,98360,IAH
2020,1,8504,0,8504,IAH
2020,2,8195,0,8195,IAH
2020,3,4585,0,4585,IAH
2020,4,515,0,515,IAH
2020,5,1291,0,1291,IAH
2020,6,3211,0,3211,IAH
2020,7,2860,0,2860,IAH
2020,8,3036,0,3036,IAH
2020,9,2841,0,2841,IAH
2020,10,2965,0,2965,IAH
2020,11,2576,0,2576,IAH
2020,TOTAL,40579,0,32197,IAH
2007,10,2660,0,2660,HNL
2007,11,4181,0,4181,HNL
2007,12,6236,0,6236,HNL
2007,TOTAL,13077,0,13077,HNL
2008,1,8979,0,8979,HNL
2008,2,8450,0,8450,HNL
2008,3,9135,0,9135,HNL
2008,4,8177,0,8177,HNL
2008,5,6101,0,6101,HNL
2008,6,5560,0,5560,HNL
2008,7,5577,0,5577,HNL
2008,8,6099,0,6099,HNL
2008,9,5554,0,5554,HNL
2008,10,6088,0,6088,HNL
2008,11,7756,0,7756,HNL
2008,12,8068,0,8068,HNL
2008,TOTAL,85544,0,85544,HNL
2009,1,8864,0,8864,HNL
2009,2,8261,0,8261,HNL
2009,3,9257,0,9257,HNL
2009,4,8443,0,8443,HNL
2009,5,6761,0,6761,HNL
2009,6,5654,0,5654,HNL
2009,7,9894,0,9894,HNL
2009,8,10653,0,10653,HNL
2009,9,9628,0,9628,HNL
2009,10,10222,0,10222,HNL
2009,11,11564,0,11564,HNL
2009,12,13273,0,13273,HNL
2009,TOTAL,112474,0,112474,HNL
2010,1,13562,0,13562,HNL
2010,2,12237,0,12237,HNL
2010,3,13915,0,13915,HNL
2010,4,13114,0,13114,HNL
2010,5,11313,0,11313,HNL
2010,6,10531,0,10531,HNL
2010,7,11272,0,11272,HNL
2010,8,11473,0,11473,HNL
2010,9,11934,0,11934,HNL
2010,10,15398,0,15398,HNL
2010,11,16745,0,16745,HNL
2010,12,17998,0,17998,HNL
2010,TOTAL,159492,0,159492,HNL
2011,1,21243,0,21243,HNL
2011,2,20879,0,20879,HNL
2011,3,23551,0,23551,HNL
2011,4,22806,0,22806,HNL
2011,5,20834,0,20834,HNL
2011,6,21166,0,21166,HNL
2011,7,22942,0,22942,HNL
2011,8,23011,0,23011,HNL
2011,9,20588,0,20588,HNL
2011,10,21931,0,21931,HNL
2011,11,23713,0,23713,HNL
2011,12,28575,0,28575,HNL
2011,TOTAL,271239,0,271239,HNL
2012,1,31595,0,31595,HNL
2012,2,29664,0,29664,HNL
2012,3,29140,0,29140,HNL
2012,4,33733,0,33733,HNL
2012,5,36839,0,36839,HNL
2012,6,34301,0,34301,HNL
2012,7,34638,0,34638,HNL
2012,8,35360,0,35360,HNL
2012,9,28162,0,28162,HNL
2012,10,29154,0,29154,HNL
2012,11,33141,0,33141,HNL
2012,12,34480,0,34480,HNL
2012,TOTAL,390207,0,390207,HNL
2013,1,39075,0,39075,HNL
2013,2,33995,0,33995,HNL
2013,3,40498,0,40498,HNL
2013,4,40985,0,40985,HNL
2013,5,41093,0,41093,HNL
2013,6,39009,0,39009,HNL
2013,7,40214,0,40214,HNL
2013,8,39113,0,39113,HNL
2013,9,25783,0,25783,HNL
2013,10,25247,0,25247,HNL
2013,11,27377,0,27377,HNL
2013,12,34301,0,34301,HNL
2013,TOTAL,426690,0,426690,HNL
2014,1,33190,0,33190,HNL
2014,2,30471,0,30471,HNL
2014,3,38932,0,38932,HNL
2014,4,31836,0,31836,HNL
2014,5,30699,0,30699,HNL
2014,6,32620,0,32620,HNL
2014,7,34737,0,34737,HNL
2014,8,32655,0,32655,HNL
2014,9,27669,0,27669,HNL
2014,10,28252,0,28252,HNL
2014,11,25095,0,25095,HNL
2014,12,28846,0,28846,HNL
2014,TOTAL,375002,0,375002,HNL
2015,1,25964,0,25964,HNL
2015,2,22267,0,22267,HNL
2015,3,32906,0,32906,HNL
2015,4,34706,0,34706,HNL
2015,5,34726,0,34726,HNL
2015,6,34930,0,34930,HNL
2015,7,35862,0,35862,HNL
2015,8,35036,0,35036,HNL
2015,9,29204,0,29204,HNL
2015,10,29675,0,29675,HNL
2015,11,29527,0,29527,HNL
2015,12,31478,0,31478,HNL
2015,TOTAL,376281,0,376281,HNL
2016,1,31283,0,31283,HNL
2016,2,27530,0,27530,HNL
2016,3,30800,0,30800,HNL
2016,4,29632,0,29632,HNL
2016,5,30582,0,30582,HNL
2016,6,32795,0,32795,HNL
2016,7,33258,0,33258,HNL
2016,8,31729,0,31729,HNL
2016,9,25245,0,25245,HNL
2016,10,26345,0,26345,HNL
2016,11,23945,0,23945,HNL
2016,12,24777,0,24777,HNL
2016,TOTAL,347921,0,347921,HNL
2017,1,25982,0,25982,HNL
2017,2,21825,0,21825,HNL
2017,3,26888,0,26888,HNL
2017,4,26641,0,26641,HNL
2017,5,29002,0,29002,HNL
2017,6,32949,0,32949,HNL
2017,7,33779,0,33779,HNL
2017,8,32062,0,32062,HNL
2017,9,25776,0,25776,HNL
2017,10,26605,0,26605,HNL
2017,11,24652,0,24652,HNL
2017,12,24876,0,24876,HNL
2017,TOTAL,331037,0,331037,HNL
2018,1,27136,0,27136,HNL
2018,2,23920,0,23920,HNL
2018,3,27692,0,27692,HNL
2018,4,34604,0,34604,HNL
2018,5,38640,0,38640,HNL
2018,6,40249,0,40249,HNL
2018,7,41680,0,41680,HNL
2018,8,38423,0,38423,HNL
2018,9,37426,0,37426,HNL
2018,10,42003,0,42003,HNL
2018,11,40665,0,40665,HNL
2018,12,41020,0,41020,HNL
2018,TOTAL,433458,0,433458,HNL
2019,1,40719,0,40719,HNL
2019,2,34797,0,34797,HNL
2019,3,41911,0,41911,HNL
2019,4,41965,0,41965,HNL
2019,5,41407,0,41407,HNL
2019,6,44371,0,44371,HNL
2019,7,47423,0,47423,HNL
2019,8,45332,0,45332,HNL
2019,9,38168,0,38168,HNL
2019,10,38873,0,38873,HNL
2019,11,38260,0,38260,HNL
2019,12,42166,0,42166,HNL
2019,TOTAL,495392,0,495392,HNL
2020,1,41407,0,41407,HNL
2020,2,35766,0,35766,HNL
2020,3,28336,0,28336,HNL
2020,4,2315,0,2315,HNL
2020,5,4808,0,4808,HNL
2020,6,5485,0,5485,HNL
2020,7,4535,0,4535,HNL
2020,8,5588,0,5588,HNL
2020,9,3764,0,3764,HNL
2020,10,3640,0,3640,HNL
2020,11,7433,0,7433,HNL
2020,TOTAL,143077,0,128240,HNL
